iter	Passed	Remaining
797	1786	452
798	1787	449
799	1789	447
800	1790	444
801	1791	442
802	1793	439
803	1794	437
804	1795	434
805	1796	432
806	1798	430
807	1799	427
808	1801	425
809	1802	422
810	1803	420
811	1804	417
812	1806	415
813	1807	413
814	1809	410
815	1810	408
816	1811	405
817	1813	403
818	1814	401
819	1816	398
820	1817	396
821	1819	393
822	1821	391
823	1822	389
824	1823	386
825	1825	384
826	1826	382
827	1828	379
828	1829	377
829	1830	374
830	1831	372
831	1833	370
832	1834	367
833	1836	365
834	1837	363
835	1839	360
836	1840	358
837	1841	356
838	1843	353
839	1844	351
840	1845	348
841	1847	346
842	1848	344
843	1850	342
844	1851	339
845	1853	337
846	1854	334
847	1855	332
848	1857	330
849	1858	327
850	1859	325
851	1861	323
852	1862	320
853	1863	318
854	1865	316
855	1866	314
856	1868	311
857	1869	309
858	1870	307
859	1872	304
860	1873	302
861	1875	300
862	1876	297
863	1878	295
864	1879	293
865	1880	291
866	1882	288
867	1883	286
868	1884	284
869	1885	281
870	1887	279
871	1888	277
872	1889	274
873	1891	272
874	1892	270
875	1894	268
876	1895	265
877	1896	263
878	1897	261
879	1898	258
880	1900	256
881	1901	254
882	1902	252
883	1904	249
884	1905	247
885	1906	245
886	1908	243
887	1909	240
888	1910	238
889	1912	236
890	1913	234
891	1915	231
892	1917	229
893	1918	227
894	1919	225
895	1920	222
896	1921	220
897	1923	218
898	1924	216
899	1925	213
900	1927	211
901	1928	209
902	1930	207
903	1931	205
904	1932	202
905	1933	200
906	1935	198
907	1936	196
908	1938	194
909	1939	191
910	1940	189
911	1942	187
912	1943	185
913	1945	183
914	1946	180
915	1947	178
916	1949	176
917	1950	174
918	1951	172
919	1953	169
920	1959	168
921	1967	166
922	1973	164
923	1977	162
924	1979	160
925	1980	158
926	1982	156
927	1983	153
928	1985	151
929	1986	149
930	1988	147
931	1989	145
932	1990	142
933	1992	140
934	1993	138
935	1995	136
936	1996	134
937	1997	132
938	1999	129
939	2001	127
940	2003	125
941	2004	123
942	2005	121
943	2007	119
944	2008	116
945	2010	114
946	2011	112
947	2012	110
948	2014	108
949	2016	106
950	2018	103
951	2019	101
952	2021	99
953	2022	97
954	2024	95
955	2026	93
956	2027	91
957	2028	88
958	2030	86
959	2032	84
960	2033	82
961	2035	80
962	2036	78
963	2038	76
964	2040	73
965	2041	71
966	2043	69
967	2045	67
968	2047	65
969	2048	63
970	2049	61
971	2051	59
972	2053	56
973	2055	54
974	2057	52
975	2060	50
976	2062	48
977	2063	46
978	2065	44
979	2066	42
980	2068	40
981	2069	37
982	2070	35
983	2072	33
984	2073	31
985	2075	29
986	2076	27
987	2078	25
988	2079	23
989	2081	21
990	2083	18
991	2085	16
992	2087	14
993	2089	12
994	2090	10
995	2091	8
996	2093	6
997	2094	4
998	2096	2
999	2098	0
